name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J032554.4+563347,blue,51.476922,56.562996,404.824,,624.703,,,,11.865,11.723,8.345,6.139,15.156,13.685,12.927,,
HPPSC070A_J032908.4+310910,blue,52.284998,31.152845,147.637,230.398,258.834,,,,13.14,12.949,9.248,7.405,16.3,15.182,14.477,,
HPPSC070A_J104955.1+325926,blue,162.479926,32.990454,2975.672,3245.055,3591.67,,573.8,,11.192,10.848,6.005,2.801,13.287,12.628,12.403,,
HPPSC070A_J091205.9+600250,blue,138.024876,60.047122,22.865,,,,,,15.53,15.281,11.617,8.465,,,,,
HPPSC070A_J114312.9+195727,blue,175.804119,19.957584,12.514,,,,,,16.602,16.908,12.321,9.021,,,,,
HPPSC070A_J052742.4+370633,blue,81.926734,37.109264,261.634,,,,,,13.959,13.704,9.719,7.868,,,,,
HPPSC070A_J055952.4+252827,blue,89.96852,25.474186,244.811,,408.417,224.9,,,13.372,13.081,9.169,6.897,15.842,15.11,14.28,,
HPPSC070A_J094718.3+675220,blue,146.826381,67.87226,33.466,33.738,,,,,16.039,16.676,12.004,9.025,,,,,
HPPSC070A_J164032.3-210018,blue,250.134865,-21.004953,226.476,,364.567,160.4,,,12.768,12.467,9.113,7.345,14.946,14.092,13.668,,
HPPSC070A_J063931.6+085935,blue,99.881969,8.993152,149.909,,297.288,,,,13.242,12.966,9.252,7.271,16.538,15.441,14.786,,
HPPSC070A_J033646.1-355957,blue,54.192237,-35.999075,5195.915,5408.824,5538.175,2293.1,1071.4,436.1,8.934,8.088,4.642,2.046,11.578,10.827,10.26,,
HPPSC070A_J054830.6+254627,blue,87.127551,25.774297,198.223,,263.384,212.2,,,13.414,13.111,9.341,7.736,16.245,15.277,14.415,,
HPPSC070A_J221354.2+581659,blue,333.476101,58.283066,279.511,,814.472,,,,12.588,12.403,8.566,6.709,16.092,15.041,14.244,,
HPPSC070A_J112303.6+052814,blue,170.765105,5.470628,68.526,,198.38,,,,14.974,14.699,11.067,8.711,,,,,
HPPSC070A_J042902.1+343518,blue,67.25888,34.588384,188.68,,422.073,204.8,93.2,,13.853,13.524,9.456,7.336,16.258,15.483,14.694,,
HPPSC070A_J123402.7+073629,blue,188.511496,7.607949,32.307,61.27,,,,,14.851,14.5,10.966,8.048,16.66,15.971,15.224,,
HPPSC070A_J131552.9+415932,blue,198.970607,41.992308,33.953,78.739,,,,,14.644,15.164,10.474,8.967,,,,,
HPPSC070A_J205827.3-423755,blue,314.614012,-42.631829,20.956,28.445,,,,,15.259,14.33,10.476,7.499,,,,,
HPPSC070A_J132627.9-111921,blue,201.616623,-11.322412,126.157,,173.319,63.4,,,13.572,12.835,9.85,7.087,15.829,14.997,14.419,,
